hour,available_power
1,45
2,50
3,55
4,60
5,65
6,60
7,50
8,40
9,30
10,25
11,20
12,15
13,15
14,20
15,25
16,30
17,40
18,50
19,60
20,70
21,75
22,80
23,75
24,65
25,55
26,60
27,65
28,70
29,75
30,70
31,60
32,50
33,40
34,35
35,30
36,25
37,25
38,30
39,35
40,40
41,50
42,60
43,70
44,80
45,85
46,90
47,85
48,75
49,35
50,40
51,45
52,50
53,55
54,50
55,40
56,30
57,20
58,15
59,10
60,10
61,10
62,15
63,20
64,25
65,35
66,45
67,55
68,65
69,70
70,75
71,70
72,60
73,70
74,75
75,80
76,85
77,90
78,85
79,75
80,65
81,55
82,50
83,45
84,40
85,40
86,45
87,50
88,55
89,65
90,75
91,85
92,95
93,100
94,95
95,90
96,80
97,40
98,45
99,50
100,55
101,60
102,55
103,45
104,35
105,25
106,20
107,15
108,10
109,10
110,15
111,20
112,25
113,35
114,45
115,55
116,65
117,70
118,75
119,70
120,60
121,50
122,55
123,60
124,65
125,70
126,65
127,55
128,45
129,35
130,30
131,25
132,20
133,20
134,25
135,30
136,35
137,45
138,55
139,65
140,75
141,80
142,85
143,80
144,70
145,60
146,65
147,70
148,75
149,80
150,75
151,65
152,55
153,45
154,40
155,35
156,30
157,30
158,35
159,40
160,45
161,55
162,65
163,75
164,85
165,90
166,95
167,90
168,80
